time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-05-10T03:23:33.007Z,-28.6675,-176.7791,10,5.7,mww,,76,11.107,1.03,us,us70003j5p,2019-08-01T17:15:08.040Z,"Kermadec Islands region",earthquake,10,1.8,0.06,27,reviewed,us,us
2019-05-10T08:44:53.554Z,-19.74,169.1328,105,5.8,mww,,45,3.263,0.69,us,us70003j7l,2019-08-01T17:15:08.040Z,"26 km SW of Isangel, Vanuatu",earthquake,7.1,1.9,0.043,52,reviewed,us,us
2019-05-11T16:06:16.459Z,-34.6032,179.7741,86,5.5,mww,,69,16.861,0.88,us,us70003jtm,2019-08-01T17:15:11.040Z,"south of the Kermadec Islands",earthquake,13.2,1.9,0.06,27,reviewed,us,us
2019-05-12T19:24:50.373Z,8.625,-82.8298,19,6,mww,,53,0.218,1.09,us,us70003k3p,2021-06-28T15:44:23.702Z,"1 km W of Bren, Panama",earthquake,5,1.7,0.036,75,reviewed,us,us
2019-05-14T12:58:25.939Z,-4.051,152.5967,10,7.6,mww,,16,0.453,1,us,us70003kyy,2020-07-07T22:53:37.609Z,"48 km NE of Kokopo, Papua New Guinea",earthquake,3.8,1.6,0.046,45,reviewed,us,us
2019-05-15T00:33:45.948Z,-3.2352,148.9957,10,5.5,mww,,81,2.012,0.72,us,us70003lam,2019-08-07T22:03:36.040Z,"213 km WSW of Kavieng, Papua New Guinea",earthquake,7.9,1.8,0.155,4,reviewed,us,us
2019-05-15T05:24:31.606Z,29.7216,130.7116,29,5.7,mww,,38,3.395,1.3,us,us70003ld5,2019-08-07T22:03:37.040Z,"59 km SSE of Koshima, Japan",earthquake,6.4,1.8,0.055,32,reviewed,us,us
2019-05-16T01:23:58.718Z,-5.2554,152.6305,21,5.7,mww,,25,1.155,0.82,us,us70003ly5,2019-08-07T22:03:40.040Z,"108 km SSE of Kokopo, Papua New Guinea",earthquake,6.7,1.8,0.069,20,reviewed,us,us
2019-05-16T16:22:17.474Z,12.6436,-87.8168,71.96,5.9,mww,,42,1.501,1.35,us,us70003m2q,2020-07-10T17:40:58.519Z,"41 km WSW of Jiquilillo, Nicaragua",earthquake,7.9,4.4,0.039,63,reviewed,us,us
2019-05-16T22:52:43.961Z,-4.5846,-105.7328,10,5.9,mww,,72,15.91,0.75,us,us70003mbq,2019-08-07T22:03:43.040Z,"central East Pacific Rise",earthquake,12.4,1.8,0.052,36,reviewed,us,us
2019-05-17T22:37:47.788Z,-4.5834,153.0098,21,5.9,mww,,19,0.929,0.64,us,us70003mus,2020-07-10T17:41:23.299Z,"86 km ESE of Kokopo, Papua New Guinea",earthquake,6.7,1.8,0.06,27,reviewed,us,us
